id	logFC	AveExpr	t	P.Value	adj.P.Val	B
SULT1A1	-0.908710079336307	8.08517284541063	-18.0685789919763	2.85193477151719e-54	2.4265336110956e-52	112.750619081346
TMEM56	-1.54208066299499	8.13736143961353	-18.0629305267834	3.02019330921626e-54	2.55631049312882e-52	112.693593586974
LRRN2	-1.06930814912158	6.4330366884058	-18.0262932799177	4.38014743414976e-54	3.6881749198118e-52	112.323763685408
RPS6KA2	0.70484332619911	7.52809345410628	18.0199775253359	4.67000482788061e-54	3.91197156999422e-52	112.260019060358
ZBP1	1.51654295865867	7.79145894444444	18.0121932723133	5.05376323779143e-54	4.21172853217172e-52	112.181456593429
RAB6B	-0.776152902467935	6.18552571980676	-18.005535673898	5.40688357220652e-54	4.48302372101675e-52	112.114268078278
RAVER2	-1.11585675683212	8.56598700483092	-17.994586499198	6.04204912224267e-54	4.98423047134851e-52	112.003775409857
SPHK2	-0.618119451477972	7.06628521256039	-17.9854237050967	6.63053880504118e-54	5.44206495559213e-52	111.911316048593
BTN3A3	0.817588646054099	8.53367040338164	17.975175897366	7.35682255809854e-54	6.00782529606328e-52	111.80791482377
TRIM29	1.49674041341327	7.28619576086956	17.9496792417885	9.5277290318535e-54	7.74175622483256e-52	111.550682514912
SLC6A4	-1.52122871144729	5.17873433091787	-17.9385460477837	1.06664314886825e-53	8.62388945883481e-52	111.438375229177
SLC45A2	-0.72930132947574	4.92493676570048	-17.9222648720817	1.25809544743236e-53	1.01214401565462e-51	111.274152588247
CFB	1.46260266543503	9.06012119806763	17.9213507512806	1.26980988356057e-53	1.0165359811696e-51	111.264932711975
ACVR2A	-0.879098843070275	8.00317459903382	-17.9201472734605	1.28539880434073e-53	1.02397137104614e-51	111.25279445272
ACOT8	-0.676976054447856	7.35144336231884	-17.9052255097549	1.49533404610464e-53	1.18539871137788e-51	111.102302190825
CHN2	-1.08091469206637	7.62428573671498	-17.9008586373392	1.56301891691203e-53	1.2330398261523e-51	111.058263404739
PPP2R3A	-1.12461108184606	6.64322088888889	-17.8954359961419	1.65134445684791e-53	1.29642506126741e-51	111.003579333974
AUH	-0.724532821249298	7.92351447342995	-17.852372569225	2.55502184033077e-53	1.99623365034689e-51	110.569384883304
ANO10	-0.843119112172342	8.6771982826087	-17.8229123235816	3.44381605915289e-53	2.67533493155937e-51	110.272423830278
WARS	1.4734868162995	9.56449335507246	17.8225311114218	3.457143164282e-53	2.67533493155937e-51	110.268581603351
ELK3	1.03888414856386	7.84534470289855	17.799948555108	4.34587690529443e-53	3.34714907999714e-51	110.040991696273
EDN2	-0.875507410066927	6.78493548792271	-17.7940652520758	4.61275587155618e-53	3.53593847493677e-51	109.981705195191
MPP7	-0.977656307515333	7.19129907004831	-17.787865385247	4.91173604442564e-53	3.74744706375404e-51	109.919231437394
SLC17A9	0.76248540839376	7.72425037439614	17.7848755301268	5.06276300472828e-53	3.84462437335697e-51	109.889104799109
SEC14L1	0.873111932724489	8.10142100241546	17.7712627832369	5.81122091720015e-53	4.39247214536836e-51	109.751947295338
PECR	-0.872841599065813	6.89162193719807	-17.7674142068463	6.04220469357527e-53	4.54591983681906e-51	109.713172839294
SLC39A2	-1.16868702781651	4.9899254589372	-17.7622658530845	6.36560717357424e-53	4.7671650773159e-51	109.661304851329
TRIB2	1.39017096388734	7.76856311835749	17.736450628941	8.26745727732159e-53	6.16304808319968e-51	109.40125509145
PIK3R3	0.875987852133298	7.59784529710145	17.734801442833	8.40667262293961e-53	6.23821172581697e-51	109.384643729856
MAP3K5	0.648735667387065	8.56943649275362	17.7171836635413	1.00482739392472e-52	7.42247726303213e-51	109.207202335292
SLC17A8	-0.780409108825991	4.85994039613527	-17.7133374447085	1.04472589118502e-52	7.68228075006683e-51	109.168467454283
ENC1	0.79647813908254	8.32820833574879	17.7035011953237	1.15411140713131e-52	8.44840742220315e-51	109.069412773971
PDZD3	-1.40468304350251	7.39698888164251	-17.6950938289	1.2566329236783e-52	9.1576419922404e-51	108.984753413248
IDO1	3.14606684934469	8.32058069806763	17.6903357825074	1.31863575446634e-52	9.5665846633181e-51	108.936843915233
PTPN13	1.01800876519799	6.51860179227053	17.683454224725	1.41375741705109e-52	1.02110985708877e-50	108.86755557716
AGFG2	-0.629070185373671	7.03867704589372	-17.6801699558847	1.46154224364195e-52	1.05095234519581e-50	108.834488564862
CYP27A1	-1.22140988796709	7.95919191304348	-17.6771982179624	1.50616919840476e-52	1.07827117371259e-50	108.804568935992
IQGAP2	-0.861152311210255	8.97400919323671	-17.6674884442267	1.66169524603783e-52	1.18439515102459e-50	108.706815204488
MAST2	-0.904667473786947	8.72083763043478	-17.6605518124035	1.78253548010146e-52	1.26497747105366e-50	108.636984789596
GPX8	1.21139627649192	6.96043607487923	17.6555345340926	1.87537589212094e-52	1.32507537490684e-50	108.586478692196
